g u-g g-r g-i g-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
22.076 3.104 1.441 2.901 3.729 24.006 30.968 7.29 -35.59 -2.94 12.39 0.00503 14.64 5 7.5 3087.0 5.19 5 4.0417 0.067 11.835 0.134 -0.003 0.025 239.764481 -49.153706 60.154869 -37.421864 0.1987 -8.0654 -0.1123 -0.1353 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
22.022 3.088 1.414 2.858 3.726 3.614 -46.166 -0.73 34.9 -21.94 2.61 0.00524 14.7 5 7.5 3092.0 5.23 7 8.4778 0.173 11.835 0.134 -0.299 0.018 238.702927 -49.025486 60.314968 -36.726589 0.1909 -8.065 -0.107 -0.1291 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.69 3.11 1.455 2.866 3.654 -25.979 4.255 5.54 2.24 12.4 -21.58 0.00534 14.38 5 7.45 3138.0 4.88 3 1.5661 0.187 11.61 0.147 -0.344 0.054 238.927307 -48.987083 60.364258 -36.873493 0.1873 -8.0634 -0.1052 -0.1263 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.259 3.038 1.438 2.813 3.623 -23.662 -29.289 9.02 27.87 -6.13 -22.26 0.00516 13.9 5 7.45 3089.0 5.08 5 3.9726 0.151 11.388 0.16 -0.01 -0.011 238.769043 -49.018322 60.324314 -36.76989 0.1937 -8.0659 -0.1086 -0.1312 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.142 2.968 1.392 2.744 3.558 3.171 -25.319 -9.77 19.98 -11.29 7.81 0.00508 13.78 5 7.45 3137.0 4.94 3 1.4432 0.032 11.169 0.175 0.136 0.012 239.144699 -49.217674 60.076294 -37.01656 0.1969 -8.066 -0.1104 -0.1341 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.908 3.048 1.389 2.815 3.55 -36.414 -33.941 0.45 40.52 3.3 -21.45 0.00521 13.57 5 7.45 3150.0 4.97 5 4.0397 0.272 11.169 0.175 -0.216 0.004 239.259262 -49.396515 59.852047 -37.090942 0.1918 -8.0638 -0.1073 -0.1306 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.128 3.014 1.389 2.748 3.563 12.107 38.829 26.13 -44.68 0.0 -10.5 0.00502 13.74 5 7.45 3098.0 5.02 6 5.9236 0.157 11.169 0.175 -0.295 0.031 238.772644 -49.101772 60.220165 -36.772854 0.1991 -8.0676 -0.1115 -0.1355 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.531 2.925 1.406 2.768 3.525 29.851 42.79 31.26 -51.36 -13.96 -5.87 0.00553 13.35 5 7.4 3185.0 5.18 6 6.0412 0.17 10.885 0.196 -0.01 0.002 238.910538 -49.19725 60.101486 -36.863533 0.1807 -8.061 -0.1011 -0.1218 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
19.6 2.995 1.352 2.577 3.229 -19.503 -13.26 -2.42 18.05 5.68 -7.68 0.00547 12.41 5 7.35 3367.0 5.09 2 0.1354 0.291 10.314 0.238 0.135 -0.029 238.446243 -49.326569 59.937996 -36.561291 0.1829 -8.0624 -0.1016 -0.1237 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.309 2.961 1.274 2.313 2.898 13.159 12.573 -4.48 -11.82 -1.03 9.01 0.00535 11.15 5 7.25 3353.0 4.76 4 2.5297 0.502 9.652 0.289 -0.143 0.045 238.64328 -49.49567 59.728176 -36.690437 0.187 -8.0632 -0.1037 -0.1272 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.083 2.765 1.363 2.321 2.903 75.818 -29.093 40.01 -16.36 -78.65 12.06 0.00537 10.84 5 7.25 3477.0 4.79 6 6.0145 0.397 9.61 0.292 -0.195 0.034 238.490021 -48.92532 60.437969 -36.585785 0.1862 -8.0639 -0.1043 -0.1254 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
23.586 3.319 1.505 3.096 4.034 4.152 -48.54 22.76 26.43 -37.23 -14.55 0.0052 16.18 5 7.55 2936.0 5.2 7 8.7334 0.093 12.853 0.09 0.042 0.03 238.446228 -49.369236 59.884857 -36.561604 0.1923 -8.0655 -0.1067 -0.1309 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
23.561 3.274 1.428 3.028 3.968 25.408 12.866 38.85 -30.49 -31.92 -15.2 0.0052 16.22 5 7.55 2994.0 5.29 7 8.6197 0.215 12.921 0.087 0.301 0.051 238.778412 -49.109322 60.21077 -36.776676 0.1922 -8.0652 -0.1076 -0.1303 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
23.81 2.485 1.047 1.368 1.532 5.365 -33.646 8.39 20.82 -22.88 -0.52 0.00505 16.64 6 9.1 4541.0 8.74 7 8.3993 0.804 16.65 0.007 -0.213 -0.026 239.62323 -49.733093 59.426991 -37.324203 0.1979 -8.0647 -0.1103 -0.136 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.821 1.197 0.505 0.655 0.747 42.794 24.561 65.1 -56.45 -49.52 -22.55 0.00514 15.08 6 9.2 5695.0 8.45 6 5.957 0.832 14.96 0.009 0.188 0.034 239.593155 -49.450191 59.782978 -37.307789 0.1946 -8.064 -0.1091 -0.1329 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.283 3.222 1.498 2.744 3.598 40.336 34.25 17.41 -48.75 -15.82 10.96 0.00489 13.78 5 7.45 3118.0 5.01 5 4.0169 0.326 11.388 0.16 -0.395 0.021 238.500366 -48.932346 60.429306 -36.592678 0.2043 -8.0701 -0.1144 -0.139 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.388 3.028 1.389 2.759 3.554 19.926 44.302 -20.44 -39.82 21.54 28.88 0.00466 13.86 5 7.45 3135.0 4.94 4 2.5845 0.043 11.241 0.17 0.265 -0.04 239.354202 -48.829544 60.563068 -37.153389 0.2148 -8.0721 -0.1217 -0.1467 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.218 2.987 1.391 2.743 3.536 8.265 4.45 16.81 -12.94 -12.94 -9.24 0.00474 13.7 5 7.45 3203.0 5.03 2 0.1177 0.128 11.026 0.185 0.119 0.045 239.752762 -49.148319 60.161728 -37.414234 0.2109 -8.0695 -0.1192 -0.1445 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.456 2.96 1.376 2.695 3.463 -3.168 19.452 53.16 -31.91 -18.94 -41.19 0.00488 13.01 5 7.4 3194.0 5.09 6 6.0455 0.163 10.816 0.201 -0.018 0.062 239.087708 -48.987923 60.363873 -36.978756 0.205 -8.0691 -0.1154 -0.1397 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.086 2.972 1.425 2.622 3.285 12.933 31.199 11.01 -35.05 1.6 2.92 0.00466 12.49 5 7.35 3247.0 4.97 7 8.5857 0.258 10.437 0.229 -0.693 0.028 238.588455 -49.697372 59.476604 -36.655357 0.2144 -8.0723 -0.1184 -0.1485 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
19.832 3.014 1.367 2.56 3.188 6.08 34.702 27.71 -44.09 0.33 -14.85 0.00457 12.23 5 7.35 3294.0 5.07 7 8.491 0.413 10.193 0.248 -0.147 0.013 239.145279 -49.144806 60.167545 -37.01688 0.2186 -8.0733 -0.1228 -0.1503 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
19.627 3.092 1.345 2.486 3.159 11.369 26.248 -0.8 -28.94 7.38 7.11 0.00459 12.08 5 7.35 3321.0 5.04 4 2.5141 0.064 10.132 0.253 0.039 0.004 239.39267 -49.581749 59.619083 -37.176537 0.2178 -8.0719 -0.1216 -0.1508 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.722 3.034 1.293 2.377 3.019 29.857 37.976 20.72 -49.97 -11.45 2.54 0.00496 11.36 5 7.3 3459.0 5.04 4 2.449 0.357 9.828 0.276 0.064 0.019 238.391357 -49.704155 59.467754 -36.527901 0.2015 -8.0683 -0.111 -0.1387 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.559 2.947 1.323 2.332 2.912 -13.664 -3.96 5.82 9.0 5.31 -12.39 0.0046 11.05 5 7.25 3409.0 5.03 6 6.099 0.545 9.652 0.289 0.007 0.045 239.579239 -49.547939 59.660202 -37.297836 0.2172 -8.0713 -0.1215 -0.1502 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.351 2.929 1.289 2.24 2.799 -5.041 -21.383 45.06 5.32 -31.98 -36.04 0.00488 10.99 5 7.25 3400.0 4.84 6 6.1805 0.367 9.565 0.296 0.034 -0.011 239.837585 -48.828136 60.564625 -37.471603 0.2048 -8.0677 -0.1166 -0.1392 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.471 1.034 0.42 0.532 0.537 3.627 18.851 -2.44 -13.67 9.87 4.94 0.00464 14.57 6 9.1 6151.0 8.35 5 3.853 0.704 14.57 0.01 0.087 -0.005 239.564682 -49.295467 59.977638 -37.290421 0.2154 -8.0712 -0.1211 -0.1483 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
